ID;RNT;NOMBRE COMERCIAL;DIRECCION;TELEFONO;LOCALIDAD;SERVICIO A DOMICILIO;TELEFONO DOMICILIO;PAGINA WEB
2;8251;Oma Barra de Cafe Bogota Puente Aereo;Avenida Calle 26 No 106 - 47 Primer Piso Diagonal Porteria 4 (Vuelos Nacionales de Avianca);NR;Fontibon;NR;NA;http://173.254.122.220/
6;14321;Hamburguesas el Corral Centro Internacional;Carrera 7 No 32 - 83 Local 102;NR;Santafe;No;NA;www.elcorral.com
7;14324;Hamburguesas el Corral Hacienda;Centro Comercial Hacienda Santa Barbara Carrera 7 No 115 - 72 Local E-111;NR;Usaquen;No;NA;www.elcorral.com
8;14325;Hamburguesas el Corral Calle 93;Calle  93A No 14 - 30;NR;Chapinero;No;NA;www.elcorral.com
9;14333;Hamburguesas el Corral Plaza;Centro Comercial Plaza de Las 'Americas' Carrera 71 D  No 6 - 94 Sur  Local 2912;NR;Kennedy;No;NA;www.elcorral.com
10;14335;Hamburguesas el Corral Pepe Sierra;Avenida 116 No 18B - 75;NR;Usaquen;No;NA;www.elcorral.com
11;14336;Corral Gourmet Atlantis;Calle CL 80 No 13 - 48 Local 01-02;623 29 93 - ;Chapinero;NR;NA;www.elcorralgourmet.com
12;14337;Hamburguesas el Corral Atlantis;Calle 80 No 13 A - 20 Local 403;NR;Chapinero;No;NA;www.elcorral.com
13;14339;Hamburguesas el Corral Calle 100;Calle 100 No 8 - 75 Primer Piso;NR;Chapinero;No;NA;www.elcorral.com
14;14345;Hamburguesas el Corral Calle 71;Carrera 9 No 71 - 24;NR;Chapinero;No;NA;www.elcorral.com
15;14346;Corral Gourmet 93;Calle 93 A No 12 - 57 Local 3 y 4;640 62 59 - ;Chapinero;NR;NA;www.elcorralgourmet.com
16;14350;Beer Station;Avenida Calle 116 No 15 - 59;215 48 00 - ;Usaquen;NR;NA;www.beerstation.com.co
17;14351;Corral Gourmet 116;Avenida Calle 116 No 15 - 65;215 31 55 - ;Usaquen;NR;NA;www.elcorralgourmet.com
18;14352;Hamburguesas el Corral Andino;Carrera 11 No 82 - 01 Local 405;NR;Chapinero;No;NA;www.elcorral.com
19;14353;Beer Station Zona T;Calle 83 No 12 A - 63;236 93 20 - ;Chapinero;NR;NA;www.beerstation.com.co
20;14354;Hamburguesas el Corral Texaco 1;Carrera 7 No 69 - 26;NR;Chapinero;No;NA;www.elcorral.com
21;14397;La Cigale;Calle 69 A No 4 - 93;249 68 39 - 212 77 85;Chapinero;Si;249 68 39;www.lacigale.com.co
22;14419;Restaurante Casa Vieja San Diego;Carrera 10 No 26 - 60;284 73 59 - 281 01 90;Santafe;No ;NA;www.casavieja.com.co
23;14420;Crepes & Waffles;Carrera 11 No 85  - 79;676 76 00 Extension 701 - ;Chapinero;No ;NA;www.Crepesywaffles.com
24;14421;Crepes & Waffles;Carrera 13 No  28  -  08 Local 36;676 76 00 Extension 702 - ;Santafe;No ;NA;www.Crepesywaffles.com
25;14422;Crepes & Waffles;Calle 100 No 8 A - 55 Local 138 - 139;676 76 00 Extension 706 - ;Chapinero;No ;NA;www.Crepesywaffles.com
26;14427;Restaurante Casa Vieja;Avenida Jimenez No 3 - 57;342 67 52 - 334 89 08;Candelaria;No ;NA;www.casavieja.com.co
27;14441;Crepes & Waffles;Avenida Calle 13 No 4 - 55;676 76 00 Extension 729 - ;Candelaria;No ;NA;www.Crepesywaffles.com
28;14444;Crepes & Waffles;Carrera 12A No 83  -  40;676 76 00 Extension 711 - ;Chapinero;No ;NA;www.Crepesywaffles.com
29;14445;Crepes & Waffles;Calle 93B No 12  -  28 Local 101;676 76 00 Extension 708 - ;Chapinero;No ;NA;www.Crepesywaffles.com
30;14477;Archies Usaquen;Carrera 6 A No 119 - 01;213 32 26 - ;Usaquen;Si;605 05 05;www.archies.co
31;14480;Archies Pepe Sierra;Calle 116 No 17 - 13;637 00 38 - 310 235 19 95;Usaquen;Si;605 05 05;www.archies.co
32;14481;Archies Chico;Carrera 15 No 96 - 67;610 66 78 - ;Chapinero;Si;605 05 05;www.archies.co
33;14482;Archies Calle 93;Calle 93 A No 11 - 49;530 45 20 - ;Chapinero;Si;605 05 05;www.archies.co
34;14483;Archies Andino;Centro Comercial Andino Plaza Carrera 11 No 82 - 71 Piso 4 Local 406 ;236 27 35 - ;Chapinero;Si;605 05 05;www.archies.co
35;14485;Archies Zona Rosa;Calle 82 No 13 - 07 ;610 91 62 - ;Chapinero;Si;605 05 05;www.archies.co
36;14486;Archies Quinta Camacho;Calle 69 A No 10 - 03 ;321 23 04 - ;Chapinero;Si;605 05 05;www.archies.co
37;14490;Archies Calle 71;Calle 71 No 4 - 55;235 11 74 - 545 10 33;Chapinero;Si;605 05 05;www.archies.co
38;14491;Archies Centro Internacional;Carrera 7 No 27 - 80;NR;Santafe;Si;605 05 05;www.archies.co
39;14587;Restaurante Cali Mio No 11;Carrera 70 B No 25 - 47 Sur;260 52 82 - ;Kennedy;Si;600 43 00;www.calimio.com.co
40;14588;Restaurante Cali Mio;Calle 85 No 16 - 48 Local 1;256 37 48 - ;Chapinero;Si;600 43 00;www.calimio.com.co
41;14599;Bogota Beer Company S A;Carrera 12 No 83 - 33;742 92 92 Extension 3 Opcion 1 - ;Chapinero;NR;NA;www.bogotabeercompany.com
42;14601;Bogota Beer Company;Carrera 11 A No 93 A - 94 ;742 92 92 Extension 3 Opcion 3 - ;Chapinero;NR;NA;www.bogotabeercompany.com
43;14602;Bogota Beer Company;Carrera 6 No 119 - 24;742 92 92 Extension 3 Opcion 4 - ;Usaquen;NR;NA;www.bogotabeercompany.com
44;14603;Bogota Beer Company;Avenida 19 No 120 - 76;742 92 92 Extension 3 Opcion 2 - ;Usaquen;NR;NA;www.bogotabeercompany.com
45;14604;Bogota Beer Company;Calle 85 No 13  - 06;742 92 92 Extension 3 Opcion 6 - ;Chapinero;NR;NA;www.bogotabeercompany.com
46;14618;El Ovejo Cafe;Carrera 14 No 83 - 70 Piso 2;611 24 96 - ;Chapinero;NR;NA;NR
47;14630;Restaurante Wok;Carrera 9  69A -  63;212 01 67 - ;Chapinero;NR;NA;www.wok.com.co
48;14631;Restaurante Wok;Carrera 13  No 82 - 74;622 59 80 - ;Chapinero;NR;NA;www.wok.com.co
49;14632;Restaurante Wok;Avenida 19  No 118 - 75;213 88 54 - ;Usaquen;NR;NA;www.wok.com.co
50;14633;Restaurante Wok;Calle 93B No 12 - 28;236 49 39 - ;Chapinero;NR;NA;www.wok.com.co
51;14636;La Biferia;Calle 69 No 5 - 61;345 61 90 - 320 344 34 25;Chapinero;NR;NA;labiferia.squarespace.com
52;14643;Restaurante La Brasserie;Carrera 13 No 85 - 35;257 64 02 - 618 45 77;Chapinero;No ;NA;NR
53;14644;Restaurante Patria;Calle 83 No 12A - 11;236 98 54 - 621 06 82;Chapinero;No ;NA;NR
54;14645;Restaurante Dilucca;Carrera 13 No 85 - 32;236 73 01 - 257 42 69;Chapinero;No ;NA;NR
55;14646;Restaurante Niko Cafe;Carrera 13 No 83 - 48;610 80 90 - 610 81 02;Chapinero;No ;NA;NR
56;14647;Restaurante Museo del Oro;Calle 16 No 5 - 41;282 92 05 - 334 71 28;Santafe;No ;NA;NR
58;14650;La Fragata Restaurante Giratorio;Calle 100 No 8 A - 55 Piso 12;218 44 56 - ;Chapinero;NR;NA;www.lafragata.com
59;14651;Fish Market La Fragata Zona T;Carrera 13 No 83 - 18;691 24 19 - 257 97 43;Chapinero;NR;NA;www.lafragata.com
60;14660;Apolos Men;Calle 85 No 11 - 18;257 54 43 - 311 261 55 07;Chapinero;NR;NA;www.apolosmen.com.co
61;14665;Cotidiano Cafe Brasserie;Centro Comercial Andino Plaza Carrera 11 No 82 - 71 Local 402;654 54 54 - ;Chapinero;Si;654 54 54;www.elcotidiano.com.co
62;14666;Salto del Angel;Carrera 13 No 93 A - 45;654 54 55 - ;Chapinero;NR;NA;www.saltodelangel.com.co
63;14667;Oliveto Pizza Gourmet;Carrera 5 No 70 - 26;212 65 70 - 212 08 07;Chapinero;Si;212 65 70;www.olivetopizza.com / www.olivetopizzagourmet.com
64;14668;Oliveto Pizza Gourmet;Carrera 6A No 118  -  57;213 41 24 - 213 03 02;Usaquen;Si;212 65 70;www.olivetopizza.com / www.olivetopizzagourmet.com
65;14669;El Olivar Restaurante;Carrera 6 No 10 - 40;283 29 64 - ;Candelaria;NR;NA;NR
69;14777;Hard Rock Cafe;Centro Comercial Atlantis Calle 81 No 13 - 05  Local 011;530 73 28 - 530 73 29;Chapinero;Si;530 22 00;www.hardrock.com
70;14806;MC Donalds Parque 93;Carrera 12 No 93  - 86;618 24 28 - 311 561 08 60;Chapinero;Si;400 33 33;www.mcdonalds.com.co
71;14807;MC Donalds Andino;Carrera 11 No 82 - 02 Local 355;616 89 90 - 311 491 31 72;Chapinero;Si;400 33 33;www.mcdonalds.com.co
72;14809;MC Donalds Plaza de Las Americas;Centro Comercial Plaza de Las Americas Carrera 71 D No 6 - 94 Sur Local 1500;260 82 20 - 311 561 08 62;Kennedy;Si;400 33 33;www.mcdonalds.com.co
73;14810;MC Donalds Pepe Sierra;Calle 116 No 18B  - 43;213 78 72 - 311 561 08 61;Usaquen;Si;400 33 33;www.mcdonalds.com.co
74;14811;MC Donalds Avenida Jimenez;Avenida Jimenez No 7 - 25;243 94 91 - 311 491 31 75;Candelaria;Si;400 33 33;www.mcdonalds.com.co
75;14812;MC Donalds Atlantis;Centro Comercial Atlantis Calle 81 No 13 - 05 Local 311;531 19 14 - 311 491 31 73;Chapinero;No ;NA;www.mcdonalds.com.co
76;14813;MC Donalds Salitre;Centro Comercial Salitre Plaza Carrera 68 B No 24  - 39 Local 3-102/3-104;416 96 81 - 311 561 08 63;Fontibon;No ;NA;www.mcdonalds.com.co
77;14814;MC Donalds Ciudad Salitre;Carrera 68B No 24 - 30;405 98 99 - 311 491 31 76;Fontibon;Si;400 33 33;www.mcdonalds.com.co
78;14892;Taqueria Calle 93;Calle 93 A No 11 - 49 Local 2;616 76 71 - 616 75 68;Chapinero;NR;NA;NR
79;14893;Taqueria Calle 116;Calle 116 No 15 - 44 LC 2;616 76 71 - 616 75 68;Chapinero;NR;NA;NR
80;14914;Paneroli 1;Centro Comercial Andino Carrera 11 No  82 - 71 Local 414 ;236 23 58 - ;Chapinero;Si;236 23 58;paneroli.com
81;15013;Oma Cafe Restaurante Bogota El Lago;Carrera 15 No 82 - 58;NR;Chapinero;NR;NA;http://173.254.122.220/
82;15014;Oma Cafe Restaurante Bogota Bavaria;Carrera 10 No 27 - 91 Interior 117 Torre B;NR;Santafe;NR;NA;http://173.254.122.220/
83;15015;Oma Cafe Restaurante Bogota Parque 93;Calle 93 A No 12 - 55;NR;Chapinero;NR;NA;http://173.254.122.220/
84;15016;Oma Cafe Restaurante Bogota Andino;Centro Comercial Andino Plaza Carrera 11 No 82 - 71 Local 347;NR;Chapinero;NR;NA;http://173.254.122.220/
85;15027;Oma Cafe Restaurante Bogota Zona T;Carrera 12 A No 83 - 49;NR;Chapinero;NR;NA;http://173.254.122.220/
86;15028;Oma Cafe Restaurante Bogota Gran Estacion;Centro Comercial Gran Estacion Avenida EL Dorado No 62 - 49 Local 157-158;NR;Teusaquillo;NR;NA;http://173.254.122.220/
87;15081;Donostia Cocina de Mercado;Calle 29 BIS No 5 - 84;287 39 43 - ;Santafe;NR;NA;NR
88;15204;Restaurante Felix;Avenida Jimenez No 4 - 80;341 72 11 - 284 09 95;Candelaria;Si;341 72 11;NR
89;15433;Tienda de Cafe;Calle 119 No 6 - 16;213 39 16 - 213 31 18;Usaquen;Si;213 31 18;www.tiendadeCafe.net
90;15682;Tramonti;Carrera 1 No 70 - 50;218 24 00 - 636 19 95;Chapinero;NR;NA;www.tramonti.com.co
91;15758;Cotidiano Cafe Brasserie;Carrera 5 No 71 - 45 Local 104;654 54 54 - ;Chapinero;Si;654 54 54;www.elcotidiano.com.co
92;15881;Hamburguesas el Corral Parque Central Bavaria;Carrera 13 No 28 - 01 Local 173;NR;Santafe;No;NA;www.elcorral.com
93;15882;Hamburguesas el Corral San Martin;Centro Comercial San Martin Carrera 7 No 32 - 16 Local 409;NR;Santafe;No;NA;www.elcorral.com
94;15884;Corral Gourmet Zona G;Calle 69 A No 5 - 09;217 11 23 - ;Chapinero;NR;NA;www.elcorralgourmet.com
96;16239;Restaurante Gato Negro;Calle 93 A No 11 A - 47;622 33 15 - ;Chapinero;NR;NA;www.restaurantegatonegro.com.co
97;16463;Corral Gourmet La Candelaria;Calle 11 No 5 - 60;334 85 67 - ;Candelaria;NR;NA;www.elcorralgourmet.com
98;16701;LA Brasa Roja Pepe Sierra;Avenida 19 No 116 - 40;629 02 57 - ;Usaquen;Si;600 45 65;labrasaroja.com
99;16927;Sopas de Mama y Postres de la Abuela Sucursal el Retiro;Carrera 9 No 81 A - 09;658 48 90 - ;Chapinero;NR;NA;www.sopasypostres.com.co
100;16928;Sopas de Mama y Postres de la Abuela - sucursal salitre;Avenida El Dorado No 68C - 61 Local 1-24;658 48 89 - ;Fontibon;NR;NA;www.sopasypostres.com.co
102;16931;Sopas de Mama y Postres de la Abuela Sucursal Quinta Camacho;Calle 71 No 10 - 73;658 48 95 - ;Chapinero;NR;NA;www.sopasypostres.com.co
103;16933;Sopas de Mama y Postres de la Abuela Sucursal Plaza de Bolivar;Carrera 9 No 10 - 59 ;658 48 94 - ;Candelaria;NR;NA;www.sopasypostres.com.co
104;17422;Restaurante Wok;Carrera 6 BIS 29 -  07;287 31 94 - ;Santafe;NR;NA;www.wok.com.co
105;17576;La Biferia;Calle 29 Bis No 6 - 12;245 83 88 - 314 414 24 03;Santafe;NR;NA;labiferia.squarespace.com
106;17692;Hamburguesas el Corral La Candelaria;Calle 11 No 2 - 16;NR;Candelaria;No;NA;www.elcorral.com
107;17697;Hamburguesas el Corral Plaza 39;Avenida Calle 39 No 7 - 40 Local 233;NR;Chapinero;No;NA;www.elcorral.com
109;18235;Frisby G17;Calle 71 No 9 -  21 / 39 LC 1  Plazoleta Quinta de Camacho;01 800 939 000 - ;Chapinero;Si;01 800 939 000;www.frisby.com.co
110;18694;Crepes & Waffles;Carrera 6 No 119  -  56;676 76 00 Extension 733 - ;Usaquen;No ;NA;www.Crepesywaffles.com
111;18832;Hamburguesas el Corral Avenida Chile;Calle 73 No 10 - 83 Local 6 y 7;NR;Chapinero;No;NA;www.elcorral.com
113;19006;Osaki USAQUEN;Calle 118 No 6 A - 09;NR;Usaquen;Si;644 77 77;www.osaki.com.co
114;19007;Central Cevicheria;Carrera 13 No 85 - 14;644 77 66 - ;Chapinero;NR;NA;www.centralcevicheria.com
115;19008;Osaki;Calle 71 No 5 - 10;NR;Chapinero;Si;644 77 77;www.osaki.com.co
116;19009;Osaki  93;Carrera 11 A No 93 A - 46 Local 101;NR;Chapinero;Si;644 77 77;www.osaki.com.co
117;19071;Abasto Cafe & Despensa;Carrera 6 A No 119 B 52;215 12 86 - 215 12 86;Usaquen;NR;NA;NR
118;19082;Andres D.C;Calle 82 No 12 - 21;863 78 80 - ;Chapinero;No ;NA;www.andrescarnederes.com
119;19118;Boca Cocina Latina;Carrera 10 No 27 - 51 Local 174 Edificio Residencias Tequendama Norte;596 79 99 - ;Santafe;NR;NA;www.bocacocinalatina.com
120;19123;Punto Rapido Puente Aereo;Avenida calle 26 No 106 - 28 Puente Aereo  Local 207;413 88 84 - ;Fontibon;NR;NA;NR
121;19200;Hamburguesas el Corral Parque 97;Avenida 19 No 97 - 05 Local 1-2;NR;Chapinero;No;NA;www.elcorral.com
122;19916;Diana Garcia Chef en Movimiento;Carrera 7 No 70 - 94;235 68 05 - 321 34 31;Chapinero;Si;235 68 05;www.restaurantedianagarcia.com
123;20391;Brasa Roja Plaza De Las Americas;Centro Comercial Plaza de Las Americas Carrera 71 D No 6 - 94 Sur Local 2905;NR;Kennedy;Si;600 45 65;labrasaroja.com
124;21038;Brasa Roja World Trade Center;Avenida Calle 100 No 8A - 55 Local 140/41/42;NR;Chapinero;Si;600 45 65;labrasaroja.com
125;21289;El Carnal;Carrera 12 No 83  -  47;NR;Chapinero;No;NA;elcarnal.com.co
126;21311;TGI Fridays ;Calle 93A No 11 - 27;601 90 90 Extension 105 - ;Chapinero;Si;606 44 34;www.fridayscolombia.com.co
127;21515;Brasa Roja Centro Comercial San Martin;Centro Comercial San Martin Carrera 7 No 32 - 16 Local 404;NR;Santafe;Si;600 45 65;labrasaroja.com
128;21570;La Despensa de Rafael;Calle 70 A No 9 - 95;235 88 91 - 248 19 97;Chapinero;NR;NA;www.rafaelosterling.pe/es/la-despensa.html
129;21571;Rafael Restaurant;Calle 70 No 4 - 63;255 41 38 - ;Chapinero;NR;NA;www.rafaelosterling.pe/es/bogota.html
130;21587;Restaurante 69 Oyster Bar;Calle 69A No 5 - 59 Interior 1;249 04 26 - ;Chapinero;No ;NA;NR
132;21658;Hamburguesas el Corral Edificio Continental;Avenida Jimenez No 4 - 16 Local 21 Mezzanine;NR;Candelaria;No;NA;www.elcorral.com
133;21678;teriyki Sushi Bar;Carrera 13 No 93 - 71;617 02 54 - ;Chapinero;Si;600 09 60;www.teriyaki.com.co
134;21679;teriyki Thai;Carrera 13 No 83 - 66;618 15 19 - ;Chapinero;Si;618 15 19;www.teriyaki.com.co
135;21680;teriyki 69;Calle 69 A No 5 - 79;321 02 15 - ;Chapinero;Si;321 02 15;www.teriyaki.com.co
136;21758;Crepes & Waffles;Avenida calle 39 No 7  -  40 Local 137;676 76 00 Extension 732 - ;Chapinero;No ;NA;www.Crepesywaffles.com
137;21935;La Plaza De Andres;Calle 82 No 12  -  21;863 78 80 - ;Chapinero;No ;NA;www.andrescarnederes.com
138;22075;El CoQ;Calle 84 BIS No 14 - 02;610 80 36 - ;Chapinero;NR;NA;NR
139;22089;Marfalitos;Calle 12 No 7 - 32 Piso 4;334 19 26 - 282 39 21;Candelaria;Si;334 19 26;NR
140;22096;Hamburguesas el Corral Torre Cuzesar;Avenida Calle 116 No 7 - 15 Interior 2;NR;Usaquen;No;NA;www.elcorral.com
141;22109;Papa Jhons Pepe Sierra;Calle 116 No 18 B - 40;NR;Usaquen;NR;NA;www.papajohns.com.co
142;22158;Restaurante Agadon;Carrera 13 No 85 - 75;742 53 99 - 742 53 97;Chapinero;No ;NA;NR
143;22207;Restaurante Casa;Carrera 13 No 85 - 24;236 37 55 - 704 46 06;Chapinero;No ;NA;NR
144;22306;Brasa Roja Centro Comercial Avenida Chile;Centro Comercial 'Avenida' Chile Calle 72 No 10 -  34 Local 403 B;NR;Chapinero;Si;600 45 65;labrasaroja.com
145;22431;Criterion;Calle 69 A No 5 - 75;310 13 77 - 314 293 41 92;Chapinero;NR;NA;www.criterion.com.co
146;22432;Bogota Beer Company;Carrera 5 No 71 - 75;742 92 92 Extension 3 Opcion 7 - ;Chapinero;NR;NA;www.bogotabeercompany.com
147;22434;Bogota Beer Company S A;Calle 116 No 16 - 78 ;742 92 92 Extension 3 Opcion 10 - ;Usaquen;NR;NA;www.bogotabeercompany.com
148;22454;Isola;Carrera 12 A No 83 - 30;530 06 78 - ;Chapinero;NR;NA;www.isolarestaurante.com
149;22457;Harrys Restaurante;Calle 70 No 5 - 57;321 39 40 - 345 03 04;Chapinero;No ;NA;www.harrysasson.com
151;22604;Amarti;Calle 119 No 6 - 24;214 90 17 - 214 9184;Usaquen;Si;214 90 17;NR
152;22605;7 16 Steak House;Calle 119 B No 6 - 28;213 42 71 - ;Usaquen;No;NA;NR
153;22606;Koi By Wathacushi ;Calle 119 No 6 A - 17;213 39 19 - ;Usaquen;NR;NA;NR
154;22607;Cafe Renault;Calle 93 B No 11A - 84 Local 101;621 15 38 - ;Chapinero;NR;NA;NR
155;22609;Wata Kushi;Carrera 12 No 83 - 17;218 07 43 - 218 05 34;Chapinero;NR;NA;NR
156;22611;Cafe Illy 87;Carrera 15 No 87 - 98;236 67 85 - ;Chapinero;NR;NA;www.illy.com
157;22612;Piazza;Calle 83 12 - 26;257 20 88 - ;Chapinero;NR;NA;NR
158;22613;Luna Restaurante;Calle 83 No 12 - 26;257 20 88 - ;Chapinero;NR;NA;NR
159;22614;Il Panino;Calle 93 A No 11 A - 26 /30;616 01 41 - ;Chapinero;NR;NA;NR
160;22667;Diner Parque de la 93;Carrera 11 A No 93B - 11;616 01 93 - ;Chapinero;Si;616 01 93;NR
161;22668;La Hamburgueseria De La Macarena;Carrera 4 A No 27 - 27;281 12 86 - 284 88 86;Santafe;Si;600 09 69;www.lahamburgueseria.com
162;22845;Restaurante Wok;Carrera 6A  117 -  02;213 44 36 - ;Usaquen;NR;NA;www.wok.com.co
163;23310;Hamburguesas del rodeo;Carrera 7 No 13 - 41 Interior 101;519 08 88 - ;Candelaria;Si;519 09 99;www.hamburguesasdelrodeo.com
164;23409;Pesquera Jaramillo SUC. CHICO;Calle 93 A No 11 A - 31;257 25 28 - 256 54 94;Chapinero;NR;NA;www.pesquerajaramillo.com
165;23805;Restaurante Casa Vieja Usaquen;Carrera 6 No 117 - 35;213 32 46 - 637 48 20;Usaquen;No ;NA;www.casavieja.com.co
166;23878;La Biferia;Calle 29 Bis No 6 - 12;245 83 88 - 314 414 24 03;Santafe;NR;NA;labiferia.squarespace.com
167;23891;La Romana Carrera 7;Carrera 7 No 19 - 48;283 27 30 - ;Santafe;NR;NA;www.laromana.com.co
168;23892;Cafeteria Romana;Avenida Jimenez No  6 - 65;334 81 35 - ;Candelaria;Si;334 81 35;NR
169;24214;Restaurante Donde Chucho   ;Calle 84 Bis No 13 - 43;703 66 41 - ;Chapinero;NR;NA;NR
170;24254;Galeria Cafe Libro Restaurante Bar;Carrera 11 A No 93 - 42;218 34 35 - ;Chapinero;NR;NA;www.galeriacafelibro.com.co
171;24344;Ristorante Bellini;Carrera 13 No 83 - 52;236 44 01 - 636 90 03;Chapinero;Si;236 44 01;www.bellinirestaurante.com
172;24345;Trattoria Bellini;Carrera 13 No 28 A - 31 Piso 3;288 85 60 - 288 88 73;Santafe;Si;288 87 50 - 288 85 60;www.belliniRestaurante.com
173;24346;Aracataca Colombian Steakhouse;Carrera 13 No 28 A - 31 Local 101;288 85 64 - 288 88 73;Santafe;Si;288 85 64;www.restaurantearacataca.com
174;24420;Papa Jhons Avenida Chile;Carrera 9 No 71 - 60 /64;NR;Chapinero;NR;NA;www.papajohns.com.co
175;25297;La Mar Cebiche ria Peruana ;Calle 119 B No 6 - 01;629 21 77 - ;Usaquen;NR;NA;www.lamarcebicheria.com
176;25359;MC Donalds Gran Estacion;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local 3-36;572 65 89 - 311 561 08 67;Teusaquillo;No ;NA;www.mcdonalds.com.co
177;25360;MC Donalds Centro Internacional;Carrera 10 No 26 - 55 /57 Edificio Bachue;341 28 27 - 321 427 08 08;Santafe;Si;400 33 33;www.mcdonalds.com.co
178;25361;MC Donalds Usaquen;Calle 118 No 6A - 76;637 84 81 - 320 307 99 26;Usaquen;Si;400 33 33;www.mcdonalds.com.co
179;25608;Papa Jhons USAQUEN;Calle 121 No 6 - 11;NR;Usaquen;NR;NA;www.papajohns.com.co
180;25621;Restaurantes Brasa Brasil ;Calle 118 No 19 – 12;214 20 25 - 214 80 64;Usaquen;No ;NA;www.brasabrasil.com
181;25652;Restaurante BAR Museo del Tequila;Carrera 13 A No 86 A - 18;256 66 14 - ;Chapinero;NR;NA;www.museodeltequila.com.co
182;25664;Crepes & Waffles;Calle 81 No 13  -  05 Local 414;676 76 00 Extension 745 - ;Chapinero;No ;NA;www.Crepesywaffles.com
183;25665;Crepes & Waffles;Centro Comercial Plaza de Las Americas Carrera 71D No 6  -  94 Sur Local 1092;676 76 00 Extension 749 - ;Kennedy;No ;NA;www.Crepesywaffles.com
184;25666;Crepes & Waffles;Carrera 9 No 73  –  33;676 76 00 Extension 707 - ;Chapinero;No ;NA;www.Crepesywaffles.com
185;25667;Crepes & Waffles;Avenida 19 No 120 - 16;676 76 00 Extension 703 - ;Usaquen;No ;NA;www.Crepesywaffles.com
186;25668;Crepes & Waffles;Centro comercial Salitre Plaza Carrera 68 B No 24 - 39  Local 324;676 76 00 Extension 709 - ;Fontibon;No ;NA;www.Crepesywaffles.com
187;25669;Crepes & Waffles;Carrera 7 No 32  -  84 Local 210;676 76 00 Extension 730 - ;Santafe;No ;NA;www.Crepesywaffles.com
188;25691;Restaurante Lomos;Carrera 21 No 100 - 23;256 33 15 - 218 24 50;Usaquen;No ;NA;NR
189;25702;Sipote Burrito;Centro Comercial Andino Carrera 11 No 82 - 71 Local 403;644 77 88 - ;Chapinero;Si;644 77 88;www.sipoteburrito.com
190;25766;Hamburguesas el Corral Quinta de Bolivar;Calle 19 A No 04 - 08 Este;NR;Candelaria;No;NA;www.elcorral.com
191;25767;Hamburguesas el Corral Javeriana;Calle 41 No 7 - 29;NR;Chapinero;No;NA;www.elcorral.com
192;25768;Hamburguesas el Corral Salitre;Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 371;NR;Fontibon;No;NA;www.elcorral.com
193;25770;Corral Gourmet Salitre;Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 355;416 93 64 - ;Fontibon;NR;NA;www.elcorralgourmet.com
194;25785;La Bottega De Andrei ;Calle 119 B No 6 A - 18;214 01 87 - ;Usaquen;NR;NA;NR
195;25786;Restaurante Mediterranea De Andrei;Carrera 6 A No 119 B - 05;612 90 59 - 629 82 79;Usaquen;NR;NA;www.mediterraneadeandreiusaquen.com
196;25909;Gaira Cafe;Carrera 13 No 96 - 11;746 26 96 - ;Chapinero;NR;NA;www.gairacafe.co
197;26068;Archies Santafe;Centro Comercial Santafe Calle 185 No 45 - 03 Local N3-063 ;605 82 32 - ;Usaquen;Si;605 05 05;www.archies.co
198;26070;Archies Salitre;Avenida El Dorado No 62 - 49 Local 318;571 81 38 - 572 23 43;Teusaquillo;Si;605 05 05;www.archies.co
199;26318;Hamburguesas el Corral Santafe ;Centro Comercial Santafe Calle 185 No 45 - 03 Local 381;NR;Usaquen;No;NA;www.elcorral.com
200;26319;Hamburguesas el Corral Gran Estacion;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local 314 - 315;NR;Teusaquillo;No;NA;www.elcorral.com
201;26320;Hamburguesas el Corral Gran Estacion II;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local 350;NR;Teusaquillo;No;NA;www.elcorral.com
202;26321;Hamburguesas el Corral Unicentro II;Centro Comercial Uncientro Avenida 15 No 124 - 30  Local  409;NR;Usaquen;No;NA;www.elcorral.com
