ID;RNT;NOMBRE COMERCIAL;DIRECCION;TELEFONO;LOCALIDAD;SERVICIO A DOMICILIO;TELEFONO DOMICILIO;PAGINA WEB
203;26322;Hamburguesas el Corral Centro Mayor II;Centro Comercial Centro Mayor  Calle 38 A Sur No 34 D - 51 Local 3024 A;NR;Antonio Nariño;No;NA;www.elcorral.com
204;26323;Hamburguesas el Corral Iserra;Centro Comercial Iserra 100 Transversal 55 No 98 A - 66 Local 315;NR;Barrios Unidos;No;NA;www.elcorral.com
205;26324;Hamburguesas el Corral GALERIAS;Calle 52 No 24 - 12;NR;Chapinero;No;NA;www.elcorral.com
206;26325;Hamburguesas el Corral Unicentro I;Centro Comercial Unicentro Avenida 15 No 124 - 30  Local 2078;NR;Usaquen;No;NA;www.elcorral.com
207;26326;Hamburguesas el Corral Calima;Centro Comercila Calima Avenida Calle 19 No 28 - 80 Local C-30;NR;Los Martires;No;NA;www.elcorral.com
208;26327;Hamburguesas el Corral Carulla Galerias;Calle 53 No 26 - 60;NR;Chapinero;No;NA;www.elcorral.com
209;26328;Hamburguesas el Corral Bulevar Niza;Avenida Carrera 58 No 127 - 59 Local 318 - 319 - 320;NR;Suba;No;NA;www.elcorral.com
210;26329;Hamburguesas el Corral Centro Mayor I;Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local 2 -101 y 2 - 102;NR;Antonio Nariño;No;NA;www.elcorral.com
211;26330;Corral Gourmet Gran Estacion;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local  343;221 41 91 - ;Teusaquillo;NR;NA;www.elcorralgourmet.com
212;26331;Corral Gourmet Santa Ana;Avenida Carrera 9 No 110 - 50 Local 303;637 86 50 - ;Usaquen;NR;NA;www.elcorralgourmet.com
213;26332;Hamburguesas el Corral Santafe II;Centro Comercial Santafe Calle 183 No 45 - 03 Local 3-102;NR;Usaquen;No;NA;www.elcorral.com
214;26333;Hamburguesas el Corral Americas;Avenida Americas No 39 - 24;NR;Puente Aranda;No;NA;www.elcorral.com
215;26356;La Brasa Roja Gran Estacion;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local 302;NR;Teusaquillo;Si;600 45 65;labrasaroja.com
216;26357;La Brasa Roja Centro Comercial Santafe;Centro Comercial Santafe Calle 185 No 45 - 03 Local 392;NR;Usaquen;Si;600 45 65;labrasaroja.com
217;26364;MC Donalds Bulevar Niza;Avenida Carrera 58 No 127 - 59 Local  2128/2129;613 46 65 - 313 870 63 40;Suba;No ;NA;www.mcdonalds.com.co
218;26365;MC Donalds Santafe;Centro Comercial Santafe Calle 183 No 45 - 03 Local 3-121;600 65 07 - 312 588 95 17;Usaquen;Si;400 33 33;www.mcdonalds.com.co
219;26366;MC Donalds Unicentro;Centro Comercial Unicentro Avenida 15 No 124 - 30 Local 1-65;629 15 55 - 311 561 08 64;Usaquen;No ;NA;www.mcdonalds.com.co
220;26367;Mc Donalds GALERIA 2;Calle 53 No 25 - 30;653 80 00 - ;Teusaquillo;NR;NA;www.mcdonalds.com.co
221;26368;MC Donalds Calima;Centro Comercial Calima Avenida Calle 19 No 28 - 10 Local C27;378 61 26 - 311 554 90 00;Los Martires;Si;400 33 33;www.mcdonalds.com.co
222;26369;MC Donalds Centro Mayor;Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local 2115 B-C;734 03 46 - 321 241 40 16;Antonio Nariño;No ;NA;www.mcdonalds.com.co
223;26425;Lina's Sandwiches;Centro Comercial Andino Carrera 11 No 82 - 71 Local 150;616 85 85 - ;Chapinero;Si;616 85 85;NR
224;26437;Crepes & Waffles;Carrera 24 No 53  - 73 Local 103;676 76 00 Extension 739 - ;Teusaquillo;No ;NA;www.Crepesywaffles.com
225;26438;Crepes & Waffles;Avenida Carrera 58 No 127 - 59 Local 25 - 335;676 76 00 Extension 704 - ;Suba;No ;NA;www.Crepesywaffles.com
226;26439;Crepes & Waffles;Avenida Carrera 9 No 110 - 50 Local 304/305;676 76 00 Extension 723 - ;Usaquen;No ;NA;www.Crepesywaffles.com
227;26440;Crepes & Waffles;Centro Comercial Calima Avenida Calle 19 No 28 - 80 Local C32;676 76 00 Extension 755 - ;Los Martires;No ;NA;www.Crepesywaffles.com
228;26441;Crepes & Waffles;Centro comercial Gran Estacion Avenida El Dorado No  62 - 49 Local 321;676 76 00 Extension 726 - ;Teusaquillo;No ;NA;www.Crepesywaffles.com
229;26442;Crepes & Waffles;Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Plaza del Equilibrista Piso 2;676 76 00 Extension 751 - ;Antonio Nariño;No ;NA;www.Crepesywaffles.com
230;26443;Crepes & Waffles;Centro comercial Santafe Calle 185 No 45 - 03 Local 357;676 76 00 Extension 725 - ;Usaquen;No ;NA;www.Crepesywaffles.com
231;26444;Crepes & Waffles;Carrera 15 No 124  -  30 Local 1089;676 76 00 Extension 705 - ;Usaquen;No ;NA;www.Crepesywaffles.com
232;26477;Enchiladas Cocina Mexicana;Calle 10 No 2 - 12;286 03 12 - 315 311 16 46;Candelaria;NR;NA;enchiladascandelaria.com
233;26478;Tabula;Calle 29 BIS No 5 - 90;287 72 28 - 285 88 75;Santafe;NR;NA;NR
234;26523;Capital Cocina Y Cafe;Calle 10 No 2 - 99;342 04 26 - ;Candelaria;NR;NA;NR
235;26524;T-Bone;Carrera 4 No 12 C - 34;283 59 89 - ;Candelaria;NR;NA;restaurante-tbone.co
236;26541;Papa Jhons Centro Mayor;Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local 3024;NR;Antonio Nariño;NR;NA;www.papajohns.com.co
238;26543;Hamburguesas el Corral Calle 90;Carrera 18 No 89 - 38;NR;Chapinero;No;NA;www.elcorral.com
239;26767;El Gato Gris;Carrera 1A No 12 B  - 12;342 17 16 - ;Candelaria;NR;NA;www.gatogris.com
240;27168;Carbon 100 Unicentro;Centro Comercial Unicentro Avenida 15 No 124  - 30 Local 408;213 08 99 - 674 05 28;Usaquen;No;NA;carbon100xilvestre.com.co
241;27200;Carbon 100 Avenida Chile;Calle 73 No 10 - 83 Local 409;248 92 81 - 674 05 28;Chapinero;No;NA;carbon100xilvestre.com.co
242;27201;Restaurante Wok;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local 1-48;572 27 75 - ;Teusaquillo;NR;NA;www.wok.com.co
243;27237;Presto Word Trade Center;Carrera 11 No 98 - 46;610 29 04 - ;Chapinero;Si;6550 550;www.presto.com.co
244;27238;Presto Pepe Sierra;Calle 116 No 19 - 62;612 73 91 - ;Chapinero;Si;6550 550;www.presto.com.co
245;27239;Presto Calle 23;Carrera 7 No 22 - 95;243 73 70 - ;Santafe;Si;6550 550;www.presto.com.co
246;27240;Presto Palma Real;Carrera A 13 No 28 - 23 Local 1-A4;288 78 95 - ;Santafe;Si;6550 550;www.presto.com.co
247;27241;Presto Carrera 7;Carrera 7 No 12B - 72;342 10 41 - ;Candelaria;Si;6550 550;www.presto.com.co
248;27243;Presto Avenida Chile;Centro Comercial 'Avenida' Chile Calle 72 No 10 - 34 Plazoleta de Comidas;472 46 30 - ;Chapinero;Si;6550 550;www.presto.com.co
249;27244;Presto Calle. 85;Calle 85 No 12 - 61;616 98 45 - ;Chapinero;Si;6550 550;www.presto.com.co
250;27245;Burger Station San Martin - Presto San Martin;Carrera 7 No 31 - 70;323 21 36 - ;Santafe;Si;6550 550;www.presto.com.co
251;27247;Presto Landia;Calle 100 No 17 - 10;218 02 20 - ;Chapinero;Si;6550 550;www.presto.com.co
252;27249;Frisby G81;Centro Comercial Atlantis Plaza Calle 81 No 13 - 05 Local 404;01800939000 - ;Chapinero;Si;01 800 939 000;www.frisby.com.co
254;27252;KFC;Centro Comercial Atlantis Plaza Calle 81 No 13 - 05 Local 407;NR;Chapinero;Si;600 09 09;www.kfcbuenisimo.com/colombia
255;27307;Frisby H16;Centro Comercial Andino Carrera A 11 No 82 - 11  Local 419;01800939000 - ;Chapinero;Si;01 800 939 000;www.frisby.com.co
256;27308;Presto Colsubsidio Calle 26;Calle 26 No 25 - 50 Piso 2;338 43 44 - ;Teusaquillo;Si;6550 550;www.presto.com.co
257;27317;Frisby G48;Centro Comercial 'Avenida' Chile Calle 72 No 10 - 34 Local 405;249 27 19 - ;Chapinero;Si;01 800 939 000;www.frisby.com.co
258;27318;Frisby No 43;Centro Comercial Plaza de Las Americas Carrera 71 D No 6  - 94 Sur Local 29 - 02 ;01800939000 - ;Kennedy;Si;01 800 939 000;www.frisby.com.co
259;27319;Frisby No 50;Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 384 ;01800939000 - ;Fontibon;Si;01 800 939 000;www.frisby.com.co
260;27339;KFC;Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 377;NR;Fontibon;Si;600 09 09;www.kfcbuenisimo.com/colombia
261;27546;Paneroli;Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 419 ;416 93 71 - ;Fontibon;Si;416 93 71;paneroli.com
262;27547;Paneroli-3;Centro Comercial Gran Estacion Avenida Avenida El Dorado No 62 - 49 Local 320A ;572 32 42 - ;Fontibon;No ;NA;paneroli.com
263;27548;Paneroli 3;Centro Comercial Unicentro Avenida 15 No 124 - 30  Local 419 ;213 07 00 - ;Usaquen;Si;213 07 00;paneroli.com
264;27623;MC Donalds Titan;Centro Comercial Titan Avenida Carrera 72 No 80 - 94;321 364 64 00;Engativa;No ;NA;www.mcdonalds.com.co
266;27833;Restaurante Gaudi;Carrera 4A No 27 - 54;342 71 83 - 321 219 67 83;Santafe;No;NA;www.Restaurantegaudi.com
267;27985;La Bonga del Sinu;Carrera 14 No 93  -  88;691 95 07 - 257 32 53;Chapinero;No ;NA;NR
269;28323;Hamburguesas el Corral ESSO 100;Calle 100 No 11 - 79 Local 8 y 9;NR;Chapinero;No;NA;www.elcorral.com
270;28391;Hamburguesas el Corral Plaza de Las Americas II;Centro Comercial Plaza de Las Americas Carrera 71 D No 6 - 94 Sur Local 1120;NR;Kennedy;No;NA;www.elcorral.com
274;28397;Papa Jhons Salitre;Calle 24 A No 69 C - 52;NR;Fontibon;NR;NA;www.papajohns.com.co
276;28423;Papa Jhons Galerias;Calle 52 No 23 - 06 /10;NR;Teusaquillo;NR;NA;www.papajohns.com.co
277;29564;Crepes & Waffles;Centro comercial Gran Estacion Avenida El Dorado No  62 - 49  Local 319-320 Esfera;676 76 00 Extension 760 - ;Teusaquillo;No ;NA;www.Crepesywaffles.com
278;29795;Cali Mio Centro Comercial Santafe;Centro Comercial Santafe Calle 185 No 45 03 Local 3 - 11;NR;Usaquen;Si;600 43 00;www.calimio.com.co
279;29796;LA Brasa Roja Hacienda Santa Barbara;Calle 114 No 6 A - 92 Local 108;NR;Usaquen;Si;600 45 65;labrasaroja.com
280;29801;La Brasa Roja Calle 67;Carrera 11 No 66 - 75;255 84 18 - ;Chapinero;Si;600 45 65;labrasaroja.com
281;29812;Don Jediondo Sopitas y Parrilla;Transversal 55 No 98 A - 66 Local 318;600 16 33 - ;Barrios Unidos;Si;600 16 33;www.donjediondo.com
282;29839;Don Jediondo Sopitas y Parrilla;Centro Comercial Plaza de Las Americas Carrera 71 D No 6 - 94 Sur Local 2913;413 76 20 - ;Kennedy;No;NA;www.donjediondo.com
283;29840;Don Jediondo Sopitas y Parrilla ;Centro Comercial Santafe Calle 185 No 45 - 03 LC 395;605 83 13 - ;Usaquen;Si;605 83 13;www.donjediondo.com
284;29891;Narcobollo 3;Carrera 20 No 116 - 14;637 70 96 - ;Usaquen;NR;NA;NR
285;29905;La Bonga del Sinu;Calle 116 No 16 -  89;521 94 18 - 521 94 94;Usaquen;NR;NA;labongadelsinu.co
286;29954;Diner Unicentro;Avenida 15 No 124 - 30 Local 2 142;213 02 45 - ;Usaquen;Si;213 02 45;NR
287;29956;Cafe Illy Unicentro;Centro Comercial Unicentro Avenida 15 No 124 - 30 Local 1 - 12;215 79 74 - ;Usaquen;NR;NA;www.illy.com
288;29959;Presto Puente Aereo;Calle 26 No 106 - 28 Puente Aereo ;413 92 45 - ;Fontibon;Si;6550 550;www.presto.com.co
289;30002;El Carnal;Centro Comercial Hacienda Santa Barbara Carrera 7 No 115 - 72 Local E-205;NR;Usaquen;No;NA;elcarnal.com.co
290;30003;El Carnal;Centro Comercial Santafe Calle 185 No 45 - 03 Local 3N-125;NR;Usaquen;No;NA;elcarnal.com.co
291;30004;El Carnal;Calle 85 No 13 -  20;NR;Chapinero;No;NA;elcarnal.com.co
292;30006;El Carnal;Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local  2114;NR;Antonio Nariño;No;NA;elcarnal.com.co
293;30007;El Carnal;Centro Comercial Plaza De Las Americas Carrera 71 D No 6 - 94 Sur Local 2910;NR;Kennedy;No;NA;elcarnal.com.co
294;30008;El Carnal;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local 351;NR;Teusaquillo;No;NA;elcarnal.com.co
295;30009;El Carnal;Centro Comercial Unicentro Avenida 15 No 124 - 30 Local 4-10;NR;Usaquen;No;NA;elcarnal.com.co
296;30010;El Carnal;Calle 82 No 13 - 15;NR;Chapinero;No;NA;elcarnal.com.co
297;30011;Corral Gourmet Usaquen;Calle 119 B No 5 - 86;215 95 51 - ;Usaquen;NR;NA;www.elcorralgourmet.com
298;30022;Nueve ;Calle 70 A No 10 A - 18;248 70 73 - ;Chapinero;NR;NA;www.nueve.in
299;30182;KFC;Transversal 23 No 97 - 73;316 240 86 78 - ;Chapinero;Si;600 09 09;www.kfccolombia.com
300;30216;Don Jediondo Sopitas y Parrilla;Centro Comercial Calima Calle 19 No 28 - 80 Local R-7;487 51 36 - ;Los Martires;Si;487 51 36;www.donjediondo.com
301;30217;Don Jediondo Sopitas y Parrilla ;Centro Comercial Unicentro Avenida 15 No 124 - 30 Local 418;213 06 66 - ;Usaquen;Si;213 06 66;www.donjediondo.com
303;30219;Don Jediondo Gurme´s;Centro Comercial Calima Calle 19 No 28 - 80 Local C-31;487 49 94 - ;Los Martires;Si;487 51 36;www.donjediondo.com
304;30220;Don Jediondo Sopitas y Parrilla ;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local 304;572 00 24 - 650 91 40;Teusaquillo;Si;572 00 24;www.donjediondo.com
305;30221;Don Jediondo Sopitas y Parrilla ;Carrera 7 No 32 - 70 Local 419;350 09 30 - ;Santafe;Si;350 09 30;www.donjediondo.com
306;30222;La Popular de Andres Contenedores;Centro Comercial Hacienda Santa Barbara Carrera 7 No 115 - 60 ;863 78 80 - 861 22 33;Usaquen;NR;NA;www.andrescarnederes.com
307;30223;Andres Expres Caseta de Luxe;Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 391 ;416 82 67 - ;Fontibon;No ;NA;www.andrescarnederes.com
308;30224;Zatar;Carrera 5 No 69 - 15;317 98 74 - ;Chapinero;NR;NA;zatar.com.co
309;30618;Mc Donalds Calle 72;Carrera 9 No 71 - 31 /35;653 80 00 - ;Chapinero;NR;NA;www.mcdonalds.com.co
310;30728;La Popular de Andres Contenedores;Calle 93 B No 13 - 43;863 78 80 - 861 22 33;Chapinero;NR;NA;www.andrescarnederes.com
311;30764;PPC Pollo, Pizza, Carne;Calle 53 No 25 - 53;701 81 46 - 217 46 50;Teusaquillo;Si;359 91 00;www.ppc.com.co
312;30765;PPC Pollo, Pizza, Carne;Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local 114;NR;Antonio Nariño;No ;NA;www.ppc.com.co
313;30766;Mc Donalds Tunal;Calle 47 B Sur No 24 B - 33;653 80 00 - ;Tunjuelito;NR;NA;www.mcdonalds.com.co
314;30767;PPC Pollo, Pizza, Carne;Centro Comercial Plaza de Las Americas Carrera 71 D No 6  - 94 Sur Local 2525;413 76 60 - ;Kennedy;No ;NA;www.ppc.com.co
315;30768;PPC Pollo, Pizza, Carne;Transversal 35 No 38 A - 20 Sur  Local 2-122;335 06 00 - 733 34 87;Antonio Nariño;No ;NA;www.ppc.com.co
316;30769;PPC Pollo, Pizza, Carne;Centro Comercial Calima Avenida Calle 19 No 28 - 10 Local 28;487 82 01 - ;Los Martires;Si;359 91 00;www.ppc.com.co
317;30769;PPC Pollo, Pizza, Carne;Centro Comercial Calima Avenida Calle 19 No 28 - 80 Local C-29;487 82 01 - ;Los Martires;NR;NA;www.ppc.com.co
319;30770;PPC Pollo, Pizza, Carne;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local 322 ;222 85 36 - ;Teusaquillo;NR;NA;www.ppc.com.co
321;30772;Sopas de Mama y Postres de la Abuela Sucursal Unicentro;Centro Comercial Unicentro Avenida 15 No 124 - 30 Local 1-060;658 48 98 - ;Usaquen;NR;NA;www.sopasypostres.com.co
322;31033;Bagatelle S.A.S.;Diagonal 70 A No 4 - 99;310 44 69 - ;Chapinero;Si;310 44 69;www.Bagatelle.com.co
323;31034;Bagatelle S.A.S.;Carrera 11 A No 94 - 45;256 16 19 - 634 71 59;Chapinero;Si;634 71 59;www.Bagatelle.com.co
324;31047;Sopas de Mama y Postres de la Abuela  Sucursal Centro Mayor;Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 50 Local 316;658 48 97 - ;Antonio Nariño;NR;NA;www.sopasypostres.com.co
325;31048;Sopas de Mama y Postres de la Abuela Sucursal Santafe;Centro Comercial Santafe Autopista Norte Calle 185 No 45 - 03 Local 366 ;658 48 96 - ;Usaquen;NR;NA;www.sopasypostres.com.co
326;31408;Andres Expres Caseta de Luxe;Centro Comercial Calima Avenida Calle 19 No 28 - 80 Local R 11 ;863 78 80 - ;Los Martires;NR;NA;www.andrescarnederes.com
327;31410;Andres Expres Caseta de Luxe;Calle 93 No 12 - 11 Local 11;863 78 80 - ;Chapinero;NR;NA;www.andrescarnederes.com
328;31411;Andres Expres Caseta de Luxe;Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 50 Local 2107 ;863 78 80 - ;Antonio Nariño;NR;NA;www.andrescarnederes.com
329;31413;Andres Expres Caseta de Luxe;Centro Comercial Iserra 100 Transversal 55 No 98 A - 96 Local 324 - 325 ;863 78 80 - ;Barrios Unidos;NR;NA;www.andrescarnederes.com
330;31414;Andres Expres Caseta de Luxe;Centro Comercial Unicentro Avenida 15 No 124 - 30 Local 401 ;863 78 80 - ;Usaquen;NR;NA;www.andrescarnederes.com
331;31415;Andres Expres Caseta de Luxe;Centro Comercial Portal de la 80 Transversal 100 A No 80 A - 20 Local N3-034 ;863 78 80 - ;Engativa;NR;NA;www.andrescarnederes.com
332;31416;Andres Expres Caseta de Luxe;Centro Comercial Unicentro de occidente Carrera 111 C No 86 - 05 Local 2-26 ;863 78 80 - ;Engativa;NR;NA;www.andrescarnederes.com
333;31455;1.492 Restaurante Latino;Carrera 12 No 83 - 11;257 28 53 - ;Chapinero;No;NA;www.1492restaurante.com
334;31478;Beer Station Usaquen ;Centro Comercial Titan Plaza AC 80 No 70F - 128  Local 403A;736 20 29 - ;Engativa;NR;NA;www.beerstation.com.co
336;31729;Crepes & Waffles;Calle 70 No 4 - 96;676 76 00 Extension 735  - ;Chapinero;NR;NA;www.Crepesywaffles.com
338;32252;Kokoriko Central Domicilios Usaquen;Calle 119 No 9 - 04;NR;Usaquen;Si;410 01 11;www.kokoriko.com.co
339;32254;Andres Expres Caseta de Luxe;Centro Comercial Platino Carrera 7 No 138 - 33 Local 309 ;863 78 80 - ;Usaquen;NR;NA;www.andrescarnederes.com
340;32255;Andres Expres Caseta de Luxe;Centro Comercial Plaza De Las Americas Carrera 71 D No 6 - 94 Sur Local 29 - 03 ;863 78 80 - ;Kennedy;NR;NA;www.andrescarnederes.com
341;32413;Cien Montaditos LA T;Carrera 13 No 83 - 24;621 90 51 - ;Chapinero;NR;NA;colombia.100montaditos.com
342;32414;Cien Montaditos Pepe Sierra;Calle 116 No 17 A - 60;621 90 51 - ;Usaquen;NR;NA;colombia.100montaditos.com
346;32844;Kokoriko Salitre Plaza;Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 363;NR;Fontibon;Si;410 01 11;www.kokoriko.com.co
347;32845;Kokoriko Calima;Centro Comercial Calima Calle 18 No 28 - 80 ;NR;Los Martires;Si;410 01 11;www.kokoriko.com.co
348;32846;Mercado Cocina Local Sabor Consciente;Calle 93 A No 12 - 73;236 25 00 - ;Chapinero;NR;NA;www.mcdonalds.com.co
349;32847;Kokoriko Calle 71;Calle 71 No 9 - 06;NR;Chapinero;Si;410 01 11;www.kokoriko.com.co
350;32848;Kokoriko La Gran Estacion;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local 319;NR;Teusaquillo;Si;410 01 11;www.kokoriko.com.co
351;32849;Kokorico Unicentro;Centro Comercial Unicentro Avenida 15 No 124 - 30  Local 242;NR;Usaquen;Si;410 01 11;www.kokoriko.com.co
352;32850;Kokoriko Restaurante Centro Mayor;Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51  Local 2172 - 2172;NR;Antonio Nariño;Si;410 01 11;www.kokoriko.com.co
353;32851;Kokoriko Avenida Chile;Calle 72 No 10 - 30;NR;Chapinero;Si;410 01 11;www.kokoriko.com.co
354;32853;Kokoriko Andino;Centro Comercial Andino Carrera 11 No 82 - 71  Local 415 Piso 4;NR;Chapinero;Si;410 01 11;www.kokoriko.com.co
355;33068;Hamburguesas el Corral Calle 85;Calle 85 No 13 - 77;NR;Chapinero;No;NA;www.elcorral.com
356;33324;Uva;Carrera 13 No 94 A - 26 Local 3;703 10 97 - ;Chapinero;NR;NA;www.uvabar.co
357;33390;Il Magazzino Italiano;Calle 93 A No 13 A - 31 Local 01;610 29 00 - ;Chapinero;NR;NA;NR
358;33494;Hamburguesas del rodeo Calle 70;Carrera 11 No 70 - 66;519 08 88 - ;Chapinero;Si;519 09 99;www.hamburguesasdelrodeo.com
359;33531;Diana Garcia Chef en Movimiento;Calle 116 No 7 -  15 Local 3 Edificio Cusezar;522 84 94 - 523 12 20;Usaquen;Si;235 68 05;www.restaurantedianagarcia.com
360;33553;PPC Pollo, Pizza, Carne;Carrera 7 No 11 - 96 /98;310 349 85 95 - ;Candelaria;NR;NA;www.ppc.com.co
361;33554;PPC Pollo, Pizza, Carne;Avenida Jimenez No 7  - 45;341 3169 - ;Candelaria;NR;NA;www.ppc.com.co
362;33672;Sipote Burrito Parque de la 93;Carrera 11 A No 93 - 93 Local 101;644 77 88 - ;Chapinero;NR;NA;www.sipoteburrito.com
363;33773;Carbon 100 Gran Estacion;Centro Comercial Gran Estacion Avenida El Dorado No 62 - 49 Local 361;670 59 83 - ;Teusaquillo;NR;NA;carbon100xilvestre.com.co
364;33774;Carbon 100 Santafe;Centro Comercial Santafe Calle 185 No 45 - 03 Local 397;673 07 98 - ;Usaquen;NR;NA;carbon100xilvestre.com.co
365;33785;Las Cuatro Estaciones de Catalonia;Carrera 8 A No 98 - 38;256 93 09 - ;Chapinero;Si;2569309 Extension 109;NR
366;33889;Sr Choo;Carrera 13 No 83 - 34;600 09 60 - 218 52 34;Chapinero;Si;600 09 60;http://54.84.219.185/~srch4752/
368;34000;Subway Centro Comercial Calima;Centro Comercial Calima Avenida Calle 19 No 28 - 80 Local R-23;378 62 65 - ;Los Martires;Si;378 62 65;www.subwaycolombia.com
370;34031;Restaurante Indigo;Carrera 11 A No 93 B - 27;691 50 06 - 691 50 04;Chapinero;NR;NA;NR
372;34164;Apache Burger Bar;Avenida Carrera 11 No 93 - 77;635 19 16 - ;Chapinero;NR;NA;NR
373;34166;Chibchombia;Carrera 4 A No 26D - 90;284 87 39 - ;Santafe;NR;NA;NR
374;34167;Restaurante La Jugueteria 147;Avenida 19 No 147 - 30;300 08 69 - ;Usaquen;NR;NA;www.restaurantelajugueteria.com.co
375;34175;Le Cabrera;Carrera 12 A No 83 - 23;610 28 46 - ;Chapinero;NR;NA;NR
377;34250;Bogota Beer Company SAS;Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local 3051 Local 3052;3002729 - ;Antonio Nariño;NR;NA;www.bogotabeercompany.com
378;34251;Bogota Beer Company S A;Carrera 7 No 32  - 48;350 90 93 - ;Santafe;NR;NA;www.bogotabeercompany.com
379;34252;Bogota Beer Company ;Carrera 4 No 15 - 01;742 92 92 - ;Candelaria;NR;NA;www.bogotabeercompany.com
380;34253;Bogota Beer Company S A;Carrera 4 A No 27 - 04;742 92 92 Extension 3 Opcion 11 - ;Santafe;NR;NA;www.bogotabeercompany.com
381;34269;Harry's Bakery;Carrera 6 No 69 A - 34;349 11 64 - ;Chapinero;Si;349 11 64;www.harrysasson.com
382;34308;Restaurante Donde Chucho 93;Calle 93 B No 13 - 61 Local 2;300 08 58 - ;Chapinero;NR;NA;NR
383;34393;La Plaza de Andres;Centro Comercial Hacienda Santa Barbara Carrera 7 No 115 - 60 LC 303 - 304 - 305 - 306 - 307 - 308 ;863 78 80 - 861 22 33;Usaquen;NR;NA;www.andrescarnederes.com
384;34421;El Carnal;Centro Comercial San Martin Carrera 7 No 32  - 16 Local 402;NR;Santafe;No;NA;elcarnal.com.co
385;34435;Presto Santander;Carrera 7 No 16 - 49;341 01 37 - ;Santafe;Si;6550 550;www.presto.com.co
386;34467;Andres Expres Caseta De Luxe;Centro Comercial Cafam Floresta Avenida Carrera 68 No 90 - 88 Local 2 011 ;863 78 80 - ;Barrios Unidos;NR;NA;www.andrescarnederes.com
387;34468;Andres Expres Caseta De Luxe;Centro Comercial Avenida de Las Americas No 62 - 84 Local 388;863 78 80 - ;Puente Aranda;NR;NA;www.andrescarnederes.com
392;34801;Nolita;Carrera 13 No 85 - 25;610 00 80 - ;Chapinero;NR;NA;nolita.com.co
393;34920;La Hamburgueseria  El Chico;Calle 93 B No 11 A - 34;616 01 69 - 616 00 54;Chapinero;Si;600 09 69;www.lahamburgueseria.com
394;34921;La Hamburgueseria  La 85;Calle 85 No 12 - 49;610 20 01 - ;Chapinero;Si;600 09 69;www.lahamburgueseria.com
395;34923;La Hamburgueseria  Usaquen;Calle 118 No 6 A - 40;214 19 43 - 213 35 18;Usaquen;Si;600 09 69;www.lahamburgueseria.com
396;34925;La Hamburgueseria  Emaus;Calle 70 No 4 - 69;321 33 50 - 314 382 36 52;Chapinero;Si;600 09 69;www.lahamburgueseria.com